"sport","count"
"Athletics",29
"Cycling",29
"Fencing",29
"Gymnastics",29
"Swimming",29
"Rowing",28
"Wrestling",28
"Diving",27
"Football",27
"Shooting",27
"Water Polo",27
"Sailing",26
"Weightlifting",26
"Boxing",25
"Equestrianism",25
"Figure Skating",24
"Modern Pentathlon",24
"Hockey",23
"Ice Hockey",23
"Cross Country Skiing",22
"Nordic Combined",22
"Ski Jumping",22
"Speed Skating",22
"Bobsleigh",21
"Alpine Skiing",19
"Basketball",19
"Canoeing",19
"Archery",16
"Tennis",16
"Biathlon",15
"Luge",14
"Volleyball",14
"Handball",13
"Judo",13
"Rhythmic Gymnastics",9
"Synchronized Swimming",9
"Table Tennis",8
"Art Competitions",7
"Badminton",7
"Freestyle Skiing",7
"Short Track Speed Skating",7
"Beach Volleyball",6
"Curling",6
"Skeleton",6
"Tug-Of-War",6
"Baseball",5
"Polo",5
"Snowboarding",5
"Taekwondo",5
"Trampolining",5
"Triathlon",5
"Rugby",4
"Softball",4
"Alpinism",3
"Golf",3
"Lacrosse",2
"Aeronautics",1
"Basque Pelota",1
"Cricket",1
"Croquet",1
"Jeu De Paume",1
"Military Ski Patrol",1
"Motorboating",1
"Racquets",1
"Roque",1
"Rugby Sevens",1
